"Trees","Overall_error","Class_0_error","Class_1_error"
176,0.255144032921811,0.255144032921811,0.215384615384615
177,0.255144032921811,0.255144032921811,0.215384615384615
178,0.259259259259259,0.259259259259259,0.223076923076923
179,0.259259259259259,0.259259259259259,0.223076923076923
180,0.259259259259259,0.259259259259259,0.223076923076923
181,0.259259259259259,0.259259259259259,0.223076923076923
182,0.259259259259259,0.259259259259259,0.223076923076923
183,0.259259259259259,0.259259259259259,0.223076923076923
184,0.255144032921811,0.255144032921811,0.215384615384615
185,0.251028806584362,0.251028806584362,0.215384615384615
186,0.255144032921811,0.255144032921811,0.223076923076923
187,0.251028806584362,0.251028806584362,0.223076923076923
188,0.251028806584362,0.251028806584362,0.223076923076923
189,0.242798353909465,0.242798353909465,0.207692307692308
190,0.246913580246914,0.246913580246914,0.215384615384615
191,0.251028806584362,0.251028806584362,0.223076923076923
192,0.251028806584362,0.251028806584362,0.223076923076923
193,0.251028806584362,0.251028806584362,0.223076923076923
194,0.255144032921811,0.255144032921811,0.223076923076923
195,0.255144032921811,0.255144032921811,0.223076923076923
196,0.255144032921811,0.255144032921811,0.223076923076923
197,0.251028806584362,0.251028806584362,0.215384615384615
198,0.255144032921811,0.255144032921811,0.223076923076923
199,0.251028806584362,0.251028806584362,0.215384615384615
200,0.255144032921811,0.255144032921811,0.223076923076923
201,0.255144032921811,0.255144032921811,0.223076923076923
202,0.251028806584362,0.251028806584362,0.215384615384615
203,0.255144032921811,0.255144032921811,0.223076923076923
204,0.255144032921811,0.255144032921811,0.223076923076923
205,0.255144032921811,0.255144032921811,0.223076923076923
206,0.255144032921811,0.255144032921811,0.223076923076923
207,0.255144032921811,0.255144032921811,0.223076923076923
208,0.255144032921811,0.255144032921811,0.223076923076923
209,0.255144032921811,0.255144032921811,0.223076923076923
210,0.255144032921811,0.255144032921811,0.223076923076923
211,0.255144032921811,0.255144032921811,0.223076923076923
212,0.255144032921811,0.255144032921811,0.223076923076923
213,0.255144032921811,0.255144032921811,0.223076923076923
214,0.255144032921811,0.255144032921811,0.223076923076923
215,0.255144032921811,0.255144032921811,0.223076923076923
216,0.251028806584362,0.251028806584362,0.223076923076923
217,0.255144032921811,0.255144032921811,0.223076923076923
218,0.255144032921811,0.255144032921811,0.223076923076923
219,0.255144032921811,0.255144032921811,0.223076923076923
220,0.251028806584362,0.251028806584362,0.223076923076923
221,0.251028806584362,0.251028806584362,0.223076923076923
222,0.246913580246914,0.246913580246914,0.215384615384615
223,0.246913580246914,0.246913580246914,0.215384615384615
224,0.246913580246914,0.246913580246914,0.215384615384615
225,0.246913580246914,0.246913580246914,0.215384615384615
226,0.242798353909465,0.242798353909465,0.207692307692308
227,0.242798353909465,0.242798353909465,0.207692307692308
228,0.242798353909465,0.242798353909465,0.207692307692308
229,0.242798353909465,0.242798353909465,0.207692307692308
